title,female_count,male_count,popularity,female_percentage,male_percentage
ChäoS;Child: Silent Sky,205,1016,3755,16.79,83.21
Cinderella Girls Gekijou,295,975,3658,23.23,76.77
Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,59,264,6888,18.27,81.73
City Hunter,909,3132,2204,22.49,77.51
City Hunter 3,231,1040,3871,18.17,81.83
City Hunter: Bay City Wars,120,576,5488,17.24,82.76
City Hunter: Goodbye My Sweetheart,123,533,5623,18.75,81.25
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,101,494,5928,16.97,83.03
City Hunter: The Secret Service,122,578,5454,17.43,82.57
Clamp Gakuen Tanteidan,1144,602,3831,65.52,34.48
Clannad Movie,5025,12919,749,28.0,72.0
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",6431,20796,389,23.62,76.38
ClassicaLoid,803,1255,2791,39.02,60.98
Classroom☆Crisis Special,90,386,5604,18.91,81.09
Cleavage,143,1286,3959,10.01,89.99
Cleopatra,115,358,6489,24.31,75.69
Clione no Akari,396,908,3559,30.37,69.63
Cluster Edge Specials,128,122,8183,51.2,48.8
Cobra The Animation: The Psycho-Gun,88,610,5692,12.61,87.39
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,3603,10798,756,25.02,74.98
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,1905,7010,1030,21.37,78.63
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,1542,5487,1288,21.94,78.06
Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,2043,4563,1642,30.93,69.07
Code Geass: Hangyaku no Lelouch R2,15137,43264,22,25.92,74.08
Code Geass: Hangyaku no Lelouch R2 Picture Drama,1700,3457,2274,32.96,67.04
Code Geass: Hangyaku no Lelouch Recaps,1904,4128,2284,31.56,68.44
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,1708,3277,2214,34.26,65.74
Code:Breaker OVA,1116,1912,2549,36.86,63.14
Code:Realize - Sousei no Himegimi,1868,2076,1651,47.36,52.64
Coffee Break,16,78,9619,17.02,82.98
Colorful,791,2723,2944,22.51,77.49
Coluboccoro,72,186,7577,27.91,72.09
Comet Lucifer,1461,6459,1027,18.45,81.55
Comet Lucifer: Garden Indigo no Shasou kara,69,311,5428,18.16,81.84
Comic Party Revolution,382,1313,4182,22.54,77.46
Compiler,56,254,7705,18.06,81.94
Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,535,784,4622,40.56,59.44
Cool Cool Bye,14,95,9513,12.84,87.16
Cosmos Pink Shock,77,243,7855,24.06,75.94
Count Down,23,66,10010,25.84,74.16
Crayon Shin-chan,1606,2994,1937,34.91,65.09
Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,34,107,8498,24.11,75.89
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,71,192,6970,27.0,73.0
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,55,155,7304,26.19,73.81
Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,47,130,7724,26.55,73.45
Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess,42,114,8012,26.92,73.08
Crazy for It,53,133,8421,28.49,71.51
Cross Fight B-Daman eS,52,101,8243,33.99,66.01
Crusher Joe,87,523,5734,14.26,85.74
Cyborg 009: Call of Justice 2,44,180,7239,19.64,80.36
Cyborg 009: The Reopening,59,181,7929,24.58,75.42
Cyborg Kuro-chan,216,473,5212,31.35,68.65
Cyclops Shoujo Saipuu,514,2605,2692,16.48,83.52
C³,2212,12818,671,14.72,85.28
DNA² OVA,333,1630,3837,16.96,83.04
DT Eightron,54,181,7933,22.98,77.02
Dai Mahou Touge Omake,327,1160,4435,21.99,78.01
Daiakuji: The Xena Buster,165,970,4762,14.54,85.46
Daicon Opening Animations,339,1474,3660,18.7,81.3
