studio,animes,sources,genres,male_score,female_score
SANZIGEN,"Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC, Heavy Object, Argonavis from BanG Dream!, D4DJ Double Mix, Monster Strike: Katsubou no Hate no Risoukyou, Psychotic Polka, BanG Dream! It's MyGO!!!!!, Argonavis Movie: Ryuusei no Obligato, New Initial D Movie: Legend 3 - Mugen, Tsunagu, Soramoyou, Bubuki Buranki: Hoshi no Kyojin, Mou Ichido Luminous, BanG Dream! Morfonication, Wooser no Sono Higurashi, BanG Dream! 3rd Season, BanG Dream! Film Live, BanG Dream! Film Live 2nd Stage, Neo-Aspect, Wishing, D4DJ All Mix, Wooser no Sono Higurashi: Ken to Pants to Wooser to, Miss Monochrome The Animation, Kimi ga Inakucha!, Bubuki Buranki, Monster Strike Anime, Arslan Senki (TV), Aoki Hagane no Arpeggio: Ars Nova, New Initial D Movie: Legend 1 - Kakusei, Itazura Majo to Nemuranai Machi, 009 Re:Cyborg, Miss Monochrome The Animation 3, Miss Monochrome The Animation: Manager, BanG Dream! Garupa☆Pico Fever!, BanG Dream! Movie: Episode of Roselia - I: Yakusoku, Shin Sakura Taisen the Animation, Kirin Gogo no Koucha x BanG Dream! Collab Animation CM Koukai!, BanG Dream! Movie: Poppin' Dream!, D_Cide Traumerei the Animation, BanG Dream! Garupa☆Pico: Oomori, New Initial D Movie: Battle Digest, Miss Monochrome The Animation: Soccer-hen, Arslan Senki (TV): Arsen 4-koma Gekijou, ID-0, Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza, Miss Monochrome The Animation 2, Find Your One Way, Goal Line, BanG Dream! Garupa☆Pico, Black★Rock Shooter (TV), Coruscate: DNA, Wooser no Sono Higurashi: Kakusei-hen, BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!, BanG Dream! 2nd Season, Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku, Argonavis Movie: Axia, Wooser no Sono Higurashi: Mugen-hen, Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba, BanG Dream! Movie: Episode of Roselia - II: Song I Am., New Initial D Movie: Legend 2 - Tousou, D4DJ First Mix","Light novel, Manga, Other, Game, Mixed media, Original, Web manga","Action, Comedy, Action, Adventure, Sci-Fi, Action, Fantasy, Comedy, Slice of Life, Action, Sci-Fi, Comedy, Fantasy, Slice of Life, Action, Adventure, Drama, Fantasy, Supernatural, Action, Drama, UNKNOWN, Drama, Comedy, Slice of Life, Sports, Action, Drama, Sci-Fi, Action, Drama, Fantasy, Action, Adventure, Drama, Fantasy, Sci-Fi",,0.0
SBS TV Production,Track City,Unknown,Action,,
SEK Studios,"Dab-eul Chaj-eun du Sonyeon, Sihanpogtan, Boy General, Lyeonglihan Neoguli","Unknown, Original","Action, Drama, UNKNOWN, Drama, Sci-Fi",,
SELFISH,"Rune's Pharmacy: Tiarajima no Okusuriya-san, Niplheim no Karyuudo",Game,"Hentai, Fantasy, Hentai",,
SIDO LIMITED,"Choujin Locke: Mirror Ring, Kizuna, Houkago no Shokuinshitsu, Lesson XX, Sukeban Deka","Manga, Novel","Action, Drama, Boys Love, Drama, Boys Love, Drama, Erotica, Boys Love, Romance, Action, Sci-Fi",,
SIGNIF,"Dokusou Shuusa, Storywriter (2022)",Original,UNKNOWN,,
SILVER LINK.,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru, Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm, Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo Mini Anime, Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story, Strike the Blood II, Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials, Non Non Biyori Movie: Vacation, Yozakura-san Chi no Daisakusen, Tanaka-kun wa Itsumo Kedaruge, Tayutama: Kiss on My Deity, Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2, Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou, Fate/kaleid liner Prisma☆Illya 3rei!! Specials, Kokoro Connect: Michi Random, Two Car, Fate/kaleid liner Prisma☆Illya 2wei!, Fate/kaleid liner Prisma☆Illya Specials, Tasogare Otome x Amnesia: Taima Otome, Brave Witches, C³: Rinkan Gakkou Confusion!, Busou Shoujo Machiavellianism, Taimadou Gakuen 35 Shiken Shoutai, Bonjour♪Koiaji Pâtisserie, Stella no Mahou, Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji wo Sugita Cinderella, Jahy-sama wa Kujikenai!, Fate/kaleid liner Prisma☆Illya 2wei! Specials, Kyou no Asuka Show, Imouto sae Ireba Ii. (ONA), Chaos Dragon: Sekiryuu Seneki, Brave Witches: Petersburg Daisenryaku, Non Non Biyori Repeat, Ragna Crimson, Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!, Tanaka-kun wa Kyou mo Kedaruge, Soredemo Ayumu wa Yosetekuru, Oniichan dakedo Ai sae Areba Kankeinai yo ne!, Fate/Grand Order, Asako Get You!!, Non Non Biyori, Deep Insanity: The Lost Child, Baka to Test to Shoukanjuu Ni!, Baka to Test to Shoukanjuu Specials, Non Non Biyori: Okinawa e Ikukoto ni Natta, Kirakira 5th Anniversary Live Anime: Kick Start Generation, Stella no Mahou Specials, Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo, Otome wa Boku ni Koishiteru: Futari no Elder The Animation, Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen, ChäoS;Child: Silent Sky, Sunohara-sou no Kanrinin-san, Baka to Test to Shoukanjuu: Matsuri, Nakanohito Genome [Jikkyouchuu], Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi, Tasogare Otome x Amnesia, Lv1 Maou to One Room Yuusha, Strike the Blood: Valkyria no Oukoku-hen, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA, Dosanko Gal wa Namara Menkoi, Imouto sae Ireba Ii. (ONA) Specials, Midara na Ao-chan wa Benkyou ga Dekinai, Kokoro Connect, Busou Shoujo Machiavellianism: Doki! \"Goken-darake\" no Ian Ryokou, Rokujouma no Shinryakusha!?, Imawa no Kuni no Alice, Baka to Test to Shoukanjuu, Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials, Circlet Princess, Butlers: Chitose Momotose Monogatari, Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru \"LIPS Eizou\", Mitsuboshi Colors, Strike the Blood, Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Rakudai Kishi no Cavalry, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou, Saikin Yatotta Maid ga Ayashii, Nakanohito Genome [Jikkyouchuu]: Knots of Memories, Non Non Biyori Repeat: Hotaru ga Tanoshinda, Fate/kaleid liner Prisma☆Illya 3rei!!, Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai, Ore ga Ojousama Gakkou ni \"Shomin Sample\" Toshite Gets♥Sareta Ken Specials, Kenja no Mago, Girlfriend (Kari), Non Non Biyori Nonstop, Fate/kaleid liner Prisma☆Illya, Nourin, Fate/kaleid liner Prisma☆Illya 2wei Herz!, Tanaka-kun wa Itsumo Kedaruge Specials, Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai, Masamune-kun no Revenge R, C³, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Masamune-kun no Revenge, Death March kara Hajimaru Isekai Kyousoukyoku, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta..., Baka to Test to Shoukanjuu Mini Anime, ChäoS;Child, Isekai Shokudou, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... Voice Drama, Rokujouma no Shinryakusha!? PV, Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!, Anne Happy♪, Strike Witches: Operation Victory Arrow, Tayutayu: Pure My Heart, Ore ga Ojousama Gakkou ni \"Shomin Sample\" Toshite Gets♥Sareta Ken, Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II Part 2, ChäoS;Child Episode 0, Chitose Get You!!, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II, Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi, Ange Vierge, Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru, Non Non Biyori Nonstop: Bukatsu wo Ganbatta, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X, Imouto sae Ireba Ii., Yuri Kuma Arashi, Battle Girl High School, Meikyuu Black Company","Visual novel, Card game, Light novel, Manga, Other, Game, Unknown, Original, Web manga, 4-koma manga","Action, Drama, Supernatural, Drama, Romance, Supernatural, Comedy, Comedy, Drama, Action, Fantasy, Action, Comedy, Fantasy, Romance, Action, Comedy, Romance, Adventure, Fantasy, Comedy, Romance, Comedy, Slice of Life, Action, Sci-Fi, Ecchi, UNKNOWN, Drama, Fantasy, Girls Love, Horror, Mystery, Romance, Supernatural, Gourmet, Romance, Comedy, Romance, Supernatural, Action, Fantasy, Romance, Ecchi, Action, Fantasy, Romance, Drama, Romance, Romance, Supernatural, Comedy, Ecchi, Action, Drama, Fantasy, Mystery, Romance, Action, Fantasy, Supernatural, Ecchi, Action, Comedy, Fantasy, Slice of Life, Comedy, Romance, Ecchi, Action, Comedy, Fantasy, Slice of Life, Mystery, Sci-Fi, Supernatural, Action, Comedy, Supernatural, Ecchi, Sci-Fi, Sports, Action, Comedy, Ecchi, Action, Sci-Fi, Comedy, Romance, Slice of Life, Comedy, Supernatural, Comedy, Fantasy, Ecchi, Action, Comedy, Action, Adventure, Comedy, Fantasy, Comedy, Fantasy, Romance, Action, Supernatural, Suspense, Comedy, Fantasy, Fantasy, Gourmet, Slice of Life, Comedy, Drama, Fantasy, Romance, Sci-Fi",,5.67
SJYNEXCUS,Sou Xuan Lu Zhi Chen Ling Ji,Original,"Action, Fantasy",,
SPEED,Ometeotl Hero,Original,Sci-Fi,,
STUDIO6'oN,Suisei no Freyline: Prologue,Original,Fantasy,,
Saber Project,Tenchi Muyou! GXP: Paradise Shidou-hen,Original,"Action, Comedy, Mystery, Sci-Fi",,
Saetta,"Jingai-san no Yome, Yatogame-chan Kansatsu Nikki Nisatsume, Yatogame-chan Kansatsu Nikki, Rail Romanesque","Visual novel, 4-koma manga","Slice of Life, Comedy, Fantasy, Romance, Comedy, Slice of Life",,
Saigo no Shudan,"Relaxin', Sensou no Tsukurikata, New Yoku feat. Chan-Mika, Mizu no Naka no Suisougaku, Kensaku Shounen, Banana ga Suki, Jijii: Owari no Hajimari, Houkago no Thesaurus, Catalyst, ABC-Mart Grand Stage CMs, Kanabun no Koushin, Timeless Tree, Oniwa no Soto, Tokyo Art Month, Kunchi, Denki Groove 30-shuunen no Uta, Ongaku wa Tomatta, Adobe Student and Teacher Edition","Picture book, Music, Original","Drama, UNKNOWN, Avant Garde",,
Sakura Create,"Kare Baka: Wagahai no Kare wa Baka de R, Mannaka no Rikkun@Kin Tele",Manga,"Comedy, Comedy, Romance",,
Samsara Animation Studio,Wu Shan Wu Xing (2020),Original,"Action, Fantasy",,
Sanctuary,Landlock,Unknown,"Adventure, Fantasy, Sci-Fi",,
Sankaku,Butterfly/Satellite,Original,UNKNOWN,,
Sanrio,"Sirius no Densetsu, Mr. Men Little Miss, Kitty's Paradise","Picture book, Book, Original","Drama, Fantasy, Romance, Fantasy, UNKNOWN",,
Sanrio Digital,Hello Kitty no Kaguya-hime (2001),Unknown,Fantasy,,
Satelight,"Muv-Luv Alternative: Total Eclipse Recap - Climax Chokuzen Special, Nanbaka 2, Macross F, Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear, Kiddy GiRL-AND, Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky, Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear, Macross Zero, Nagato Yuki-chan no Shoushitsu, Fairy Tail x Rave, M3: Sono Kuroki Hagane Recap, Aquarion Evol, Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi, Macross Δ Movie: Gekijou no Walküre Specials, Juushinki Pandora, Senki Zesshou Symphogear G, Sousei no Aquarion Evol, Aquarion Logos, Macross F: Close Encounter - Deculture Edition, Galaxy Angel Rune, M3: Sono Kuroki Hagane, Ta ga Tame no Alchemist, Kamichama Karin, Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear, Hellsing: Digest for Freaks, Somali to Mori no Kamisama, Ragnastrike Angels, Glass no Kantai: La Legende du Vent de l'Univers, Macross Δ Movie: Gekijou no Walküre, Macross F Movie 2: Sayonara no Tsubasa, Mouretsu Pirates: Abyss of Hyperspace, Fairy Tail OVA, Senki Zesshou Symphogear AXZ, Kiss Dum R: Meguriahi, Shuukan Storyland, Scared Rider Xechs, Macross Δ, Girly Air Force, Kuro no Shoukanshi, Basquash!, Shugo Chara!, Ikoku Meiro no Croisée: Yune & Alice, AKB0048, Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!, Sakugan, Rokudou no Onna-tachi, Hellsing Ultimate, White Album 2, Nobunaga the Fool, Momokuri, Shugo Chara! Party!, Fairy Tail Movie 1: Houou no Miko, Heat Guy J, Log Horizon, White Album 2 Picture Drama, Kiss Dum: Engage Planet, Noein: Mou Hitori no Kimi e, Aquarion Movie: Ippatsu Gyakuten-hen, Hokuto no Ken: Raoh Gaiden Ten no Haoh, Yume Oukoku to Nemureru 100-nin no Ouji-sama: Short Stories, Macross FB7: Ore no Uta wo Kike!, Senki Zesshou Symphogear XV, Helck, Macross F Music Clip Shuu: Nyankuri, Cannon Busters, Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa, Ani*Kuri15, Final Fantasy XV: Episode Ardyn - Prologue, Muv-Luv Alternative: Total Eclipse, Caligula (TV), Heat Guy J: Toriko - Angel, Senki Zesshou Symphogear, Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?, Gekijou Tanpen Macross Frontier: Toki no Meikyuu, Chikyuu Shoujo Arjuna, Koisuru Tenshi Angelique: Kagayaki no Ashita, Anyamal Tantei Kiruminzoo, Ikoku Meiro no Croisée The Animation: Ongakkai \"Récital\", Ikoku Meiro no Croisée Picture Drama, Arata Kangatari Picture Drama, Hakata Tonkotsu Ramens, AKB0048: Next Stage, Zephyr, Sousei no Aquarion OVA, Shugo Chara!! Doki, Senki Zesshou Symphogear GX, Arata Kangatari, Imanara Maniau! Log Horizon, Ikoku Meiro no Croisée The Animation, Kiss Dum: Omokage, Madan no Ou to Vanadis, Macross Δ Movie 2: Zettai Live!!!, Guin Saga, Fairy Tail, Mouretsu Pirates, Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear, Macross F Movie 1: Itsuwari no Utahime, Baldr Force Exe Resolution, Koisuru Tenshi Angelique: Kokoro no Mezameru Toki, Nanbaka, Persona 2: Another Self, Macross F: Choujikuu Gekijou, Uchuu Senkan Yamato 2205: Aratanaru Tabidachi, Geneshaft, Sousei no Aquarion","Visual novel, Light novel, Manga, Other, Game, Original, Unknown, Novel, Web manga","Sci-Fi, Action, Action, Comedy, Sci-Fi, Comedy, Action, Adventure, Sci-Fi, Adventure, Drama, Sci-Fi, Action, Romance, Sci-Fi, Supernatural, Action, Fantasy, Action, Comedy, Drama, Drama, Fantasy, Adventure, Fantasy, Comedy, Slice of Life, Comedy, Romance, Award Winning, Sci-Fi, UNKNOWN, Drama, Fantasy, Romance, Sci-Fi, Adventure, Comedy, Drama, Fantasy, Sci-Fi, Slice of Life, Supernatural, Drama, Romance, Action, Fantasy, Supernatural, Comedy, Drama, Slice of Life, Comedy, Sci-Fi, Drama, Fantasy, Romance, Slice of Life, Adventure, Comedy, Sci-Fi, Action, Award Winning, Romance, Sci-Fi, Sci-Fi, Sports, Action, Drama, Mystery, Sci-Fi, Action, Adventure, Fantasy, Sci-Fi, Adventure, Fantasy, Romance, Ecchi, Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Comedy, Sports, Ecchi, Action, Sci-Fi, Comedy, Sci-Fi, Slice of Life, Action, Adventure, Fantasy, Action, Mystery, Action, Fantasy, Romance, Sci-Fi, Fantasy, Romance, Sci-Fi, Adventure, Romance, Sci-Fi, Action, Drama, Drama, Comedy, Fantasy, Ecchi, Action, Comedy, Action, Horror, Supernatural, Action, Drama, Sci-Fi, Action, Romance, Sci-Fi, Comedy, Fantasy, Romance, Drama, Ecchi, Comedy, Fantasy, Adventure, Drama, Fantasy, Adventure, Sci-Fi",0.0,4.0
Schoolzone,"Inmu Gakuen: Inmu ni Torawareta Bijin Shimai, Ayatsuri Haramase DreamNote, Shoujo Senki Brain Jacker, Shiofuki Mermaid, Shoujo Senki Soul Eater, Mofukuzuma, Okusama wa Michael, Kininaru Kimochi, Yama Hime no Mi, Mahou Shoujo wa Kiss Shite Kawaru, Hontou ni Atta, D-Spray, Ona x2, Fuurinkanzan, Yukiyo Ichiya Monogatari, Kunoichi Sakuya","Visual novel, Manga, Original","Hentai, Supernatural, Hentai",,
Science SARU,"Inu-Ou, Kimi to, Nami ni Noretara, Garden of Remembrance, Heike Monogatari, Star Wars: Visions, Yoake Tsugeru Lu no Uta, Nihon Chinbotsu 2020 Gekijou Henshuuban: Shizumanu Kibou, Brand New Story, Yurei Deco, Super Shiro, Nihon Chinbotsu 2020, Eizouken ni wa Te wo Dasu na!, Devilman: Crybaby - Digest Eizou, Devilman: Crybaby, Kimi no Iro, Yoru wa Mijikashi Arukeyo Otome, Yojouhan Time Machine Blues","Manga, Other, Book, Novel, Original","Adventure, Award Winning, Comedy, Drama, Romance, Supernatural, Action, Adventure, Sci-Fi, Adventure, Award Winning, Supernatural, Comedy, Romance, Adventure, Drama, Sci-Fi, Suspense, Action, Avant Garde, Horror, Supernatural, UNKNOWN, Drama, Award Winning, Fantasy, Action, Horror, Supernatural, Drama, Sci-Fi, Comedy, Mystery, Romance, Suspense, Sci-Fi",,7.0
Scooter Films,"Introduction, Petit Seka, Jantama Pong☆, Jantama Pong☆ Special, Tokugawa Cup Noodle Kinshirei, The Circle Of Butterflies, Jantama Pong☆ Web Special, Jantama Pong☆ Episode 0, Umayuru, Brand new Pastel Road!","Game, Mixed media, Original","Comedy, UNKNOWN",,
Sega Interactive,Chokkan × Algorhythm♪,Original,Comedy,,
Seven,"Doukyuusei Remake The Animation, Real Eroge Situation! The Animation, Recorder to Randoseru Mi☆, Kono Koi ni Kizuite The Animation, Kohakuiro no Hunter The Animation, Okusama ga Seitokaichou! Seitokaichou to Ofuro Asobi, Sei Yariman Gakuen Enkou Nikki The Animation, Seikatsu Shuukan The Animation, Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends, Sex Friend Osananajimi: Shojo to Doutei wa Hazukashii tte Minna ga Iu kara - The Animation, Recorder to Randoseru Mi☆ Special, Marudase Kintarou, Hakoiri Shoujo: Virgin Territory, Mama x Holic: Miwaku no Mama to Amaama Kankei - The Animation, Nobunaga-sensei no Osanazuma, Shikkoku no Shaga The Animation, Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe, Rance 01: Hikari wo Motomete The Animation, Morita-san wa Mukuchi., Futei with... The Animation, Fushigi na Somera-chan, Kisaku Reiwa, Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe - Shojo Kuriya, Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me, Torokase Orgasm The Animation, 8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation, Rinkan Club, Okusama ga Seitokaichou! OVA: Okusama Gekijou, Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation, Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation, Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji., Yarimoku Beach ni Shuugakuryokou de!! The Animation, Hensuki▽, Shin Sei Yariman Gakuen Enkou Nikki The Animation, Shin Strange+, Morita-san wa Mukuchi. 2, Otome Dori, Morita-san wa Mukuchi. Specials, Tonari no Ie no Anette-san The Animation, Hatsujou Switch: Otosareta Shoujo-tachi - The Animation, Choboraunyopomi Gekijou Ai Mai Mii, Battle Athletess Daiundoukai ReSTART!, Suketto Sanjou!! The Animation, Aikagi The Animation, Okusama no Kaifuku Jutsu The Animation, Toshoshitsu no Kanojo: Seiso na Kimi ga Ochiru made - The Animation, Joshikausei, Succubus Stayed Life The Animation, Kimi wa Yasashiku Netorareru The Animation, Kaa-chan no Tomodachi ni Shikotteru Tokoro Mirareta. The Animation, Mujaki no Rakuen, Wagaya no Liliana-san The Animation, Ousama Game The Animation, Strange+ Special, Recorder to Randoseru Re♪, Soikano: Gyutto Dakishimete - The Animation, Recorder to Randoseru Do♪, Recorder to Randoseru, Eroge de Subete wa Kaiketsu Dekiru! The Animation, Souryo to Majiwaru Shikiyoku no Yoru ni..., Kimi ga Suki. The Animation, Nudist Beach ni Shuugaku Ryokou de!! The Animation Special, Uwaki to Honki The Animation, Inugami-san to Nekoyama-san, Kuroinu II The Animation, Honoo no Haramase Oppai: Ero Appli Gakuen The Animation, Peter Grill to Kenja no Jikan: Super Extra, Gyakuten Majo Saiban: Chijo na Majo ni Sabakarechau The Animation, Nudist Beach ni Shuugaku Ryokou de!! The Animation, Sakusei Byoutou The Animation, Inmou, Ero Semi: Ecchi ni Yaruki ni ABC - The Animation, Rance 01: Hikari wo Motomete The Animation - Leazas no Yami, Fushigi na Somera-chan: Hajimatteru yo! Sono Ato no Somera-chan!!, Strange+, Okusama ga Seitokaichou!+!, Garden: Takamine-ke no Nirinka - The Animation, Buta Himesama, Kyoto Teramachi Sanjou no Holmes, Koikishi Purely☆Kiss The Animation, Baku Ane: Otouto Shibocchau zo! The Animation, Kagachi-sama Onagusame Tatematsurimasu: Netorare Mura Inya Hanashi The Animation, Eternity: Shinya no Nurekoi Channel ♡, Shidoukan Day After The Animation, Aibeya The Animation, Okusama ga Seitokaichou!, Shin Strange+ Special, Buta no Gotoki Sanzoku ni Torawarete Shojo wo Ubawareru Kyonyuu Himekishi & Onna Senshi, Inugami-san to Nekoyama-san: Nekoyama-san to Onsen Ryokou, Danna ga Nani wo Itteiru ka Wakaranai Ken, Anette-san to Liliana-san The Animation, Musekinin Galaxy☆Tylor","Visual novel, Light novel, Manga, Other, Original, Novel, Web manga, 4-koma manga","Comedy, Sci-Fi, Drama, Mystery, Action, Adventure, Comedy, Sci-Fi, Sports, Fantasy, Supernatural, Hentai, Drama, Romance, Hentai, Comedy, Comedy, Romance, Ecchi, Boys Love, Romance, Hentai, Supernatural, Hentai, Comedy, Slice of Life, Comedy, Romance, Hentai, Comedy, Hentai, Drama, Horror, Mystery, Supernatural, Comedy, Girls Love, Fantasy, Hentai, Comedy, Fantasy, Ecchi, Comedy, Ecchi",,2.0
Seven Arcs,"Mahou Shoujo Lyrical Nanoha A's, Saga-ken wo Meguru Animation, White Album, Triangle Heart: Sweet Songs Forever, Mahou Shoujo Lyrical Nanoha: The Movie 1st, Sekirei: Pure Engagement Episode 0, Tonikaku Kawaii 2nd Season, Mahou Shoujo Lyrical Nanoha StrikerS, Mato Seihei no Slave, Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun CM, Inukami!, Sekirei: Pure Engagement, Kaijuu-iro no Shima PV, Asura Cryin', Tonikaku Kawaii: Seifuku, Sekirei: Hajimete no Otsukai, Tsukasa's♪Kitchen, Blue Period, Arte, Tonikaku Kawaii: SNS, Tonikaku Kawaii, Extreme Hearts, Mahou Shoujo Lyrical Nanoha, Tonikaku Kawaii: Kaisou, White Album 2nd Season, Extreme Hearts S×S×S, Asura Cryin' 2, Dog Days', Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's, Tonikaku Kawaii: Joshikou-hen, Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!, Dog Days, Dog Days' Specials, Sekirei, Dog Days Recap","Visual novel, Light novel, Manga, Original, Unknown","Action, Fantasy, Ecchi, Comedy, Slice of Life, Girls Love, Slice of Life, Action, Supernatural, Action, Comedy, Drama, Action, Comedy, Ecchi, Comedy, Romance, Action, Adventure, Fantasy, Sports, Adventure, Romance, Drama, Comedy, Romance, Supernatural, Ecchi, Drama, Romance, Comedy, Ecchi, Action, Comedy, Drama, Sci-Fi",0.0,1.33
Seven Arcs Pictures,"Mushibugyou OVA, Dog Days'', Dog Days'': Limone Resort Tenbou Onsen!, Mushibugyou, Saga-ken wo Meguru Animation, Idol Memories, Basilisk: Ouka Ninpouchou, Trinity Seven Movie 2: Heavens Library to Crimson Lord, Trinity Seven: Nanatsu no Taizai to Nana Madoushi, Trinity Seven Movie 1: Eternity Library to Alchemic Girl, Dog Days'': Gravure Talk, Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi, ViVid Strike! Specials, Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa, Saredo Tsumibito wa Ryuu to Odoru, Lord of Vermilion III Special Anime Movie, ViVid Strike!, Mahou Shoujo Lyrical Nanoha: Detonation, Mahou Shoujo Lyrical Nanoha: Reflection, Ooya-san wa Shishunki!, Bermuda Triangle: Colorful Pastrale, Trinity Seven, Dog Days'' Specials","Light novel, Manga, Game, Original, 4-koma manga","Action, Comedy, Fantasy, Romance, Ecchi, Action, Fantasy, Ecchi, Slice of Life, Action, Comedy, Drama, Action, Drama, Fantasy, Sci-Fi, Comedy, Slice of Life, Action, Sci-Fi, Action, Adventure, Fantasy, Fantasy, Ecchi, Fantasy, UNKNOWN, Action, Drama, Comedy, Fantasy, Ecchi, Action, Drama, Sci-Fi",,6.0
Seven Stone Entertainment,"Wuxian Shaonu 48, And2! And2!, Vocaloid China Project Senden Animation, Jue Ding, Bai Ye Ling Long, Zuori Qing Kong Pilot, Di Wang Gong Lue, Jie Yao, Dou Shen Ji","Light novel, Manga, Other, Unknown, Novel, Original","Fantasy, Drama, Romance, Slice of Life, Slice of Life, Comedy, Romance, Boys Love, Comedy, Slice of Life, Action, Sci-Fi, Adventure, Boys Love, Drama, Mystery",,
